                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0801,                 1.0301,                 1.4518,                0.79816,                 0.8109,                0.86768,                0.50592,                 1.3919,                0.90139,                 1.7084,               0.006634,               0.006634,               0.006634
                     36,                 1.0624,                 1.0118,                 1.4391,                0.83857,                0.80892,                0.87071,                0.52043,                 1.4065,                0.84536,                 1.7058,               0.006535,               0.006535,               0.006535
                     37,                 1.0695,                 1.0158,                 1.4339,                0.81904,                0.84761,                0.87228,                0.51026,                 1.4322,                 0.8391,                 1.7494,               0.006436,               0.006436,               0.006436
                     38,                 1.0583,                 1.0013,                  1.432,                0.84908,                  0.802,                0.86792,                0.50903,                 1.4486,                0.85063,                 1.7541,               0.006337,               0.006337,               0.006337
                     39,                 1.0507,                 1.0008,                 1.4229,                0.81621,                0.82496,                0.87112,                0.52026,                 1.4028,                0.84727,                 1.7203,               0.006238,               0.006238,               0.006238
                     40,                 1.0482,                0.98585,                 1.4236,                0.84695,                0.79199,                0.87719,                0.52329,                 1.4181,                0.84044,                 1.7277,               0.006139,               0.006139,               0.006139
                     41,                 1.0427,                  0.976,                 1.4191,                0.84952,                0.82091,                 0.8828,                0.52935,                 1.3756,                0.81894,                 1.6854,                0.00604,                0.00604,                0.00604
                     42,                 1.0339,                0.96876,                 1.4097,                0.85988,                 0.8198,                0.89467,                 0.5275,                 1.4126,                0.81265,                 1.7227,               0.005941,               0.005941,               0.005941
                     43,                 1.0297,                0.94823,                  1.408,                0.82974,                0.82938,                0.88405,                 0.5388,                 1.3751,                0.80123,                 1.6952,               0.005842,               0.005842,               0.005842
                     44,                 1.0256,                0.95996,                 1.4108,                0.80979,                0.85095,                0.88211,                0.53803,                 1.3392,                0.79735,                 1.6664,               0.005743,               0.005743,               0.005743
                     45,                 1.0191,                0.94525,                 1.4034,                0.83231,                0.83092,                0.89333,                0.53832,                 1.3727,                0.78713,                 1.6897,               0.005644,               0.005644,               0.005644
                     46,                 1.0125,                0.95298,                 1.3995,                0.85441,                0.84316,                0.88948,                0.54981,                 1.3327,                0.78514,                  1.659,               0.005545,               0.005545,               0.005545
                     47,                 1.0139,                0.93688,                 1.3964,                 0.8215,                0.83871,                0.87692,                0.52805,                 1.3884,                0.79768,                 1.7073,               0.005446,               0.005446,               0.005446
                     48,                 1.0128,                0.93502,                 1.3921,                0.84596,                0.81313,                0.88237,                0.53599,                 1.3606,                0.78594,                 1.6876,               0.005347,               0.005347,               0.005347
                     49,                 1.0026,                0.91934,                 1.3857,                0.86299,                0.81275,                0.88345,                0.53599,                 1.3876,                0.80452,                 1.6932,               0.005248,               0.005248,               0.005248
                     50,                0.99427,                0.90948,                 1.3767,                0.85213,                0.83204,                0.88584,                 0.5466,                 1.3689,                0.78543,                 1.6804,               0.005149,               0.005149,               0.005149
                     51,                0.98447,                0.91166,                  1.377,                0.84558,                0.82232,                0.88149,                0.54385,                 1.3485,                0.78334,                 1.6655,                0.00505,                0.00505,                0.00505
                     52,                0.99484,                0.91108,                 1.3803,                 0.8554,                0.82536,                0.89511,                0.55113,                 1.3346,                 0.7781,                 1.6572,               0.004951,               0.004951,               0.004951
                     53,                0.98399,                0.88836,                  1.367,                0.82158,                0.86986,                0.90414,                0.55356,                 1.3406,                0.76326,                 1.6592,               0.004852,               0.004852,               0.004852
                     54,                0.97167,                0.88193,                 1.3642,                0.83058,                0.85651,                0.90206,                 0.5542,                 1.3511,                0.76065,                 1.6841,               0.004753,               0.004753,               0.004753
                     55,                0.96942,                0.87268,                 1.3626,                0.85058,                0.81684,                0.89017,                0.54851,                 1.3495,                0.77378,                 1.6778,               0.004654,               0.004654,               0.004654
                     56,                0.95628,                0.86903,                 1.3529,                 0.8189,                 0.8465,                0.89422,                0.54723,                  1.345,                0.78279,                 1.6751,               0.004555,               0.004555,               0.004555
                     57,                 0.9559,                 0.8638,                 1.3491,                0.83177,                0.84872,                0.88974,                0.55088,                 1.3396,                0.77164,                 1.6741,               0.004456,               0.004456,               0.004456
                     58,                0.96685,                0.86415,                 1.3547,                0.83036,                0.84205,                0.89143,                0.55764,                  1.324,                0.76248,                 1.6586,               0.004357,               0.004357,               0.004357
                     59,                 0.9578,                0.85064,                 1.3452,                0.80432,                  0.855,                0.89249,                 0.5608,                 1.3256,                0.75424,                 1.6581,               0.004258,               0.004258,               0.004258
                     60,                0.95645,                0.85303,                  1.346,                0.81798,                0.84983,                0.88973,                0.55951,                 1.3308,                0.75698,                 1.6629,               0.004159,               0.004159,               0.004159
                     61,                0.94101,                0.83956,                 1.3384,                0.83091,                0.83204,                0.88706,                0.56181,                 1.3069,                0.75924,                  1.637,                0.00406,                0.00406,                0.00406
                     62,                0.94313,                0.83409,                 1.3376,                0.83291,                0.84427,                0.89677,                0.55799,                 1.3244,                0.75734,                 1.6479,               0.003961,               0.003961,               0.003961
                     63,                0.93775,                0.83219,                 1.3321,                0.85059,                0.83982,                0.89592,                0.56481,                 1.3116,                0.74606,                 1.6432,               0.003862,               0.003862,               0.003862
                     64,                 0.9318,                0.82737,                 1.3297,                0.82737,                0.85762,                 0.8894,                0.55607,                  1.321,                 0.7524,                 1.6499,               0.003763,               0.003763,               0.003763
